SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT3124000,Wiesengebiete im Freiwald,AT,A,2012,2012,1,1,1,0,0.0
AT3125000,Rannatal,AT,B,2020,2024,4,5,5,1,0.2
AT3126000,Welser Heide,AT,A,2018,2019,2,3,2,0,0.0
AT3127000,Eferdinger Becken,AT,B,1999,2024,5,9,26,21,0.8076923076923077
AT3129000,Wiesengebiete im Mühlviertel,AT,B,2012,2012,1,1,1,0,0.0
AT3131000,Leitenbach,AT,B,2016,2021,2,2,6,4,0.6666666666666666
AT3132000,Machland Nord,AT,B,2000,2025,8,13,26,18,0.6923076923076923
AT3136000,Mittlere Steyr,AT,B,2019,2019,1,1,1,0,0.0
AT3137000,Unteres Steyr- und Ennstal,AT,B,1998,2025,7,24,28,21,0.75
AT3139000,Unteres Traun- und Almtal,AT,B,1980,2025,13,31,46,33,0.717391304347826
AT3142000,Egelsee und Egelseemoor in Unterach,AT,B,2013,2013,1,1,1,0,0.0
AT3201014,Wallersee-Wengermoor,AT,C,2007,2025,8,23,19,11,0.5789473684210527
AT3205021,Obertauern-Hundsfeldmoor,AT,C,2008,2011,3,9,4,1,0.25
AT3209022,"Salzachauen, Salzburg",AT,A,2008,2025,12,255,18,6,0.3333333333333333
AT3210001,"Hohe Tauern, Salzburg",AT,C,2017,2025,3,4,9,6,0.6666666666666666
AT3211012,"Kalkhochalpen, Salzburg",AT,B,,,0,1,,,
AT3212111,Tauglgries,AT,B,2015,2024,4,7,10,6,0.6
AT3223000,"Salzachauen, Salzburg",AT,B,2012,2025,10,196,14,4,0.2857142857142857
AT3225000,Weidmoos,AT,A,2002,2025,14,204,24,10,0.4166666666666667
AT3227000,Untersberg-Vorland,AT,B,2020,2023,3,5,4,1,0.25
AT3228000,Bürmooser Moor,AT,C,2011,2021,3,5,11,8,0.7272727272727273
AT3230000,Zeller See Südufer,AT,B,1980,2025,5,7,46,41,0.8913043478260869
AT3232000,Kopfweiden am Almkanal,AT,B,2021,2022,2,3,2,0,0.0
AT3247000,Fraham-Aag-Zellhof,AT,B,2022,2022,1,2,1,0,0.0
AT3248000,Prähauserbauerwiese,AT,B,2015,2015,1,1,1,0,0.0
AT3304000,Karwendel,AT,C,2010,2025,9,18,16,7,0.4375
AT3308000,Schwemm,AT,B,2009,2010,2,4,2,0,0.0
AT3309000,Tiroler Lech,AT,C,2010,2025,9,20,16,7,0.4375
AT3310000,Arzler Pitzeklamm,AT,B,2018,2023,4,7,6,2,0.3333333333333333
AT3313000,Fließer Sonnenhänge,AT,B,2021,2024,2,5,4,2,0.5
AT3314000,"Osttiroler Gletscherflüsse Isel, Schwarzach und Kalserbach",AT,B,2022,2024,2,5,3,1,0.3333333333333333
AT3402000,Rheindelta,AT,C,1998,2025,14,96,28,14,0.5
AT3403000,Mehrerauer Seeufer - Bregenzerachmündung,AT,B,2021,2024,3,8,4,1,0.25
AT3404000,Lauteracher Ried,AT,A,2020,2024,3,3,5,2,0.4
AT3405000,Bregenzerachschlucht,AT,B,2022,2024,2,4,3,1,0.3333333333333333
AT3408000,Bangs - Matschels,AT,C,2018,2025,4,6,8,4,0.5
AT3411000,Klostertaler Bergwälder,AT,A,2019,2025,2,3,7,5,0.7142857142857143
AT3412000,Verwall,AT,A,2025,2025,1,1,1,0,0.0
AT3414000,Leiblach,AT,B,2020,2021,2,2,2,0,0.0
AT3423000,"Soren, Gleggen-Köblern, Schweizer Ried und Birken-Schwarzes Zeug",AT,C,1999,2022,4,8,24,20,0.8333333333333334
AT3438000,Ifen,AT,B,2021,2024,2,2,4,2,0.5
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,BE,B,1969,2025,42,6868,57,15,0.2631578947368421
BE1000002,Zones boisées et ouvertes au Sud de la Région bruxelloise - complexe Verrewinkel - Kinsendael,BE,B,1994,2025,13,67,32,19,0.59375
BE1000003,Zones boisées et zones humides de la Vallée du Molenbeek dans le Nord-Ouest de la Région bruxelloise,BE,B,1967,2025,34,1674,59,25,0.423728813559322
BE2100015,Kalmthoutse Heide,BE,B,1985,2025,27,1371,41,14,0.34146341463414637
BE2100016,Klein en Groot Schietveld,BE,B,1980,2025,35,458,46,11,0.2391304347826087
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,BE,B,1973,2025,41,3072,53,12,0.22641509433962265
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",BE,B,1977,2025,25,773,49,24,0.4897959183673469
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",BE,B,1974,2025,29,595,52,23,0.4423076923076923
BE2100024,"Vennen, heiden en moerassen rond Turnhout",BE,B,1975,2025,38,6199,51,13,0.2549019607843137
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",BE,B,1968,2025,44,3929,58,14,0.2413793103448276
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",BE,B,1976,2025,37,14389,50,13,0.26
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,BE,B,1986,2025,30,1658,40,10,0.25
BE2100323,Kalmthoutse Heide,BE,A,1985,2025,27,1392,41,14,0.34146341463414637
BE2100424,De Zegge,BE,A,1971,2025,22,218,55,33,0.6
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",BE,A,1980,2025,34,1670,46,12,0.2608695652173913
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",BE,A,1964,2025,38,3409,62,24,0.3870967741935484
BE2101639,Ronde Put,BE,A,1973,2025,33,1105,53,20,0.37735849056603776
BE2200028,De Maten,BE,B,1986,2025,34,1332,40,6,0.15
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",BE,B,1980,2025,32,1682,46,14,0.30434782608695654
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,BE,B,1992,2025,22,305,34,12,0.35294117647058826
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",BE,B,1980,2025,39,6000,46,7,0.15217391304347827
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",BE,B,1972,2025,35,3828,54,19,0.35185185185185186
BE2200033,Abeek met aangrenzende moerasgebieden,BE,B,1990,2025,33,2780,36,3,0.08333333333333333
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",BE,B,1996,2025,25,430,30,5,0.16666666666666666
BE2200035,Mechelse Heide en vallei van de Ziepbeek,BE,B,2000,2025,23,965,26,3,0.11538461538461539
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,BE,B,1983,2025,9,23,43,34,0.7906976744186046
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,BE,B,1969,2025,43,1577,57,14,0.24561403508771928
BE2200038,Bossen en kalkgraslanden van Haspengouw,BE,B,1986,2025,29,3006,40,11,0.275
BE2200039,Voerstreek,BE,B,1986,2025,27,166,40,13,0.325
BE2200041,Jekervallei en bovenloop van de Demervallei,BE,B,1995,2025,24,407,31,7,0.22580645161290322
BE2200042,Overgang Kempen-Haspengouw,BE,B,1993,2025,22,506,33,11,0.3333333333333333
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,BE,B,1986,2025,24,128,40,16,0.4
BE2200525,Bokrijk en omgeving,BE,A,1995,2025,26,388,31,5,0.16129032258064516
BE2200626,De Maten,BE,A,1986,2025,34,1321,40,6,0.15
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,BE,A,2000,2025,23,824,26,3,0.11538461538461539
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",BE,A,1990,2025,26,1168,36,10,0.2777777777777778
BE2218311,Militair domein en vallei van de Zwarte Beek,BE,A,1980,2025,32,1252,46,14,0.30434782608695654
BE2219312,Vijvercomplex van Midden Limburg,BE,A,1980,2025,38,5940,46,8,0.17391304347826086
BE2220313,"Houthalen-Helchteren, Meeuwen-Gruitrode en Peer",BE,A,1992,2025,20,298,34,14,0.4117647058823529
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",BE,A,1972,2025,40,6973,54,14,0.25925925925925924
BE2223316,De Demervallei,BE,A,1979,2025,43,16053,47,4,0.0851063829787234
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,BE,B,1975,2025,38,3188,51,13,0.2549019607843137
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,BE,B,1936,2025,51,17860,90,39,0.43333333333333335
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,BE,B,1969,2025,47,3990,57,10,0.17543859649122806
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,BE,B,1983,2025,42,2537,43,1,0.023255813953488372
BE2300222,Kuifeend en Blokkersdijk,BE,A,1974,2025,45,4614,52,7,0.1346153846153846
BE2301134,Krekengebied,BE,A,1975,2025,36,7154,51,15,0.29411764705882354
BE2301235,Durme en Middenloop van de Schelde,BE,A,1936,2025,45,10760,90,45,0.5
BE2301336,Schorren en Polders van de Beneden-Schelde,BE,A,1967,2025,32,6979,59,27,0.4576271186440678
BE2400008,Zoniënwoud,BE,B,1962,2025,31,771,64,33,0.515625
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,BE,B,1984,2025,26,848,42,16,0.38095238095238093
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",BE,B,1986,2025,27,1122,40,13,0.325
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",BE,B,1982,2025,42,5684,44,2,0.045454545454545456
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,BE,B,1983,2025,29,1699,43,14,0.32558139534883723
BE2400014,Demervallei,BE,B,1979,2025,42,10456,47,5,0.10638297872340426
BE2422315,De Dijlevallei,BE,A,1969,2025,44,7325,57,13,0.22807017543859648
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,BE,B,1979,2025,41,3344,47,6,0.1276595744680851
BE2500002,Polders,BE,B,1975,2025,40,7218,51,11,0.21568627450980393
BE2500003,Westvlaams Heuvelland,BE,B,1990,2025,21,271,36,15,0.4166666666666667
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",BE,B,1982,2025,31,3061,44,13,0.29545454545454547
BE2500121,Westkust,BE,A,1980,2025,27,400,46,19,0.41304347826086957
BE2500831,Ijzervallei,BE,A,1985,2025,38,6610,41,3,0.07317073170731707
BE2500932,Poldercomplex,BE,A,1977,2025,42,6908,49,7,0.14285714285714285
BE2501033,Het Zwin,BE,A,1979,2025,32,2581,47,15,0.3191489361702128
BE2524317,Kustbroedvogels te Zeebrugge-Heist,BE,A,1996,2025,15,32,30,15,0.5
BE31001C0,Affluents brabançons de la Senne,BE,C,2005,2025,7,19,21,14,0.6666666666666666
BE31002C0,Vallées de l'Argentine et de la Lasne,BE,C,1976,2025,28,874,50,22,0.44
BE31003C0,Vallée de la Lasne,BE,C,1989,2025,25,203,37,12,0.32432432432432434
BE31004C0,Vallée de la Dyle en aval d'Archennes,BE,C,1959,2025,28,806,67,39,0.582089552238806
BE31005C0,Vallée de la Nethen,BE,C,1980,2025,20,74,46,26,0.5652173913043478
BE31006C0,Vallée de la Dyle à Ottignies,BE,C,1990,2025,22,97,36,14,0.3888888888888889
BE31007C0,Vallée du Train,BE,C,2005,2025,19,44,21,2,0.09523809523809523
BE31008C0,Carrière de Dongelberg,BE,C,2011,2025,15,46,15,0,0.0
BE31010C0,Sources de la Dyle,BE,C,1983,2025,24,859,43,19,0.4418604651162791
BE31011C0,Vallée de la Thyle,BE,C,1984,2025,21,173,42,21,0.5
BE31012C0,Vallée de la Dyle de Wavre à Archennes,BE,C,2003,2025,17,211,23,6,0.2608695652173913
BE32001C0,Vallée de la Lys,BE,C,1991,2025,22,404,35,13,0.37142857142857144
BE32002C0,Vallée de l'Escaut en aval de Tournai,BE,C,2006,2025,18,132,20,2,0.1
BE32003C0,Pays des Collines,BE,C,2002,2025,14,40,24,10,0.4166666666666667
BE32005C0,Vallées de la Dendre et de la Marcq,BE,C,2006,2025,16,175,20,4,0.2
BE32006C0,Bois d'Enghien et de Silly,BE,C,2009,2024,3,3,16,13,0.8125
BE32007C0,Bois de la Houssière,BE,C,2017,2025,6,12,9,3,0.3333333333333333
BE32008B0,Bois d'Arpes et de l'Hôpital,BE,B,1993,2024,3,3,32,29,0.90625
BE32010C0,Marais de la Verne,BE,C,2007,2019,5,9,13,8,0.6153846153846154
BE32011C0,Forêt de Bon-Secours,BE,C,2016,2021,2,2,6,4,0.6666666666666666
BE32012C0,Bord nord du bassin de la Haine,BE,C,1995,2025,14,32,31,17,0.5483870967741935
BE32014C0,Vallée de la Haine en amont de Mons,BE,C,1996,2025,23,215,30,7,0.23333333333333334
BE32017C0,Vallée de la Haine en aval de Mons,BE,C,1973,2025,42,3353,53,11,0.20754716981132076
BE32018C0,Bois de Colfontaine,BE,C,2017,2017,1,1,1,0,0.0
BE32019C0,Vallée de la Trouille,BE,C,2006,2025,14,42,20,6,0.3
BE32021C0,Haute-Sambre en aval de Thuin,BE,C,2000,2025,8,8,26,18,0.6923076923076923
BE32023C0,Vallée du Ruisseau d'Acoz,BE,C,2021,2024,3,3,4,1,0.25
BE32024C0,Basse-Sambre,BE,C,1981,2025,16,132,45,29,0.6444444444444445
BE32025C0,Haut-Pays des Honnelles,BE,C,2005,2025,17,52,21,4,0.19047619047619047
BE32026C0,Haute-Sambre en amont de Thuin,BE,C,2006,2025,18,289,20,2,0.1
BE32027C0,Vallée de la Biesmelle,BE,C,1990,2025,5,9,36,31,0.8611111111111112
BE32029C0,Haute vallée de la Thure,BE,C,2015,2025,5,6,11,6,0.5454545454545454
BE32030C0,Vallée de la Hante,BE,C,2010,2024,4,5,15,11,0.7333333333333333
BE32031C0,Bois de Vieux Sart et de Montbliart,BE,C,2005,2017,3,5,13,10,0.7692307692307693
BE32032C0,Forêts de Rance,BE,C,2007,2023,2,2,17,15,0.8823529411764706
BE32033C0,Sources de la Hante,BE,C,1996,1996,1,1,1,0,0.0
BE32034C0,Bois Massart et forêts de Sivry-Rance,BE,C,2011,2023,5,9,13,8,0.6153846153846154
BE32035C0,La Fagne entre Bailièvre et Robechies,BE,C,2005,2023,2,2,19,17,0.8947368421052632
BE32036C0,Vallée de l'Eau Blanche à Virelles,BE,C,1991,2025,25,1564,35,10,0.2857142857142857
BE32037C0,Massifs forestiers entre Momignies et Chimay,BE,C,2000,2025,12,39,26,14,0.5384615384615384
BE32038C0,Bois de Bourlers et de Baileux,BE,C,1905,2025,13,15,121,108,0.8925619834710744
BE32039C0,Vallées de l'Oise et de la Wartoise,BE,C,1996,2025,9,28,30,21,0.7
BE32040C0,Haute vallée de l'Eau Noire,BE,C,1988,2025,14,33,38,24,0.631578947368421
BE32044C0,Bassin de l'Escaut en amont de Tournai,BE,C,1976,2025,19,46,50,31,0.62
BE32045C0,Vallée de l'Aubrecheuil,BE,C,1999,2025,14,57,27,13,0.48148148148148145
BE32046C0,Vallée du Piéton,BE,C,2000,2024,13,72,25,12,0.48
BE32047C0,Vallée de la Thure,BE,C,2007,2023,3,10,17,14,0.8235294117647058
BE33001B0,Sources du Geer,BE,B,2022,2024,3,5,3,0,0.0
BE33002B0,Basse vallée du Geer,BE,B,1990,2025,6,9,36,30,0.8333333333333334
BE33003C0,Montagne Saint-Pierre,BE,C,1998,2025,14,23,28,14,0.5
BE33004C0,Basse Meuse et Meuse mitoyenne,BE,C,1979,2025,22,203,47,25,0.5319148936170213
BE33005C0,Vallée du Ruisseau de Bolland,BE,C,2022,2022,1,1,1,0,0.0
BE33006C0,Vallée de la Gueule en aval de Kelmis,BE,C,2006,2025,19,292,20,1,0.05
BE33007C0,Vallée de la Gueule en amont de Kelmis,BE,C,1993,2025,22,250,33,11,0.3333333333333333
BE33008C0,Vallée de la Burdinale,BE,C,2018,2018,1,1,1,0,0.0
BE33009C0,Vallée de la Mehaigne,BE,C,2012,2025,8,13,14,6,0.42857142857142855
BE33010C0,Vallée de la Meuse à Huy et vallon de la Solières,BE,C,1996,2025,19,66,30,11,0.36666666666666664
BE33011C0,Vallées du Hoyoux et du Triffoy,BE,C,2013,2025,10,69,13,3,0.23076923076923078
BE33012C0,Affluents de la Meuse entre Huy et Flémalle,BE,C,2007,2025,14,35,19,5,0.2631578947368421
BE33013C0,Bois de la Neuville et de la Vecquée,BE,C,2007,2023,7,16,17,10,0.5882352941176471
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,BE,C,1993,2025,23,172,33,10,0.30303030303030304
BE33015C0,Bois d'Anthisnes et d'Esneux,BE,C,1996,2025,11,35,30,19,0.6333333333333333
BE33016C0,Basse vallée de la Vesdre,BE,C,2004,2025,14,23,22,8,0.36363636363636365
BE33017C0,Basse vallée de l'Amblève,BE,C,2001,2025,10,40,25,15,0.6
BE33018C0,Coteaux calcaires de Theux et le Rocheux,BE,C,2018,2018,1,1,1,0,0.0
BE33019C0,Vallée de la Vesdre entre Eupen et Verviers,BE,C,2003,2024,3,21,22,19,0.8636363636363636
BE33020C0,Affluents du lac d'Eupen,BE,C,2016,2025,4,11,10,6,0.6
BE33021C0,Osthertogenwald autour de Raeren,BE,C,2012,2022,5,5,11,6,0.5454545454545454
BE33022C0,La Gileppe,BE,C,1998,2024,11,25,27,16,0.5925925925925926
BE33023C0,Vallée de la Soor,BE,C,2007,2020,3,3,14,11,0.7857142857142857
BE33024C0,Vallée de la Helle,BE,C,2016,2019,2,3,4,2,0.5
BE33025C0,Fagnes du Nord-Est,BE,C,2013,2025,10,27,13,3,0.23076923076923078
BE33026C0,Vallée de l'Ourthe entre Hamoir et Comblain-au-Pont,BE,C,1991,2025,20,57,35,15,0.42857142857142855
BE33027C0,Vallée de la Lembrée et affluents,BE,C,2006,2025,8,14,20,12,0.6
BE33028C0,Vallée de l'Amblève du Pont de Targnon à Remouchamps,BE,C,1977,2025,16,79,49,33,0.673469387755102
BE33029C0,Basse vallée de la Lienne,BE,C,2007,2025,7,20,19,12,0.631578947368421
