SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT2209004,Hochlagen der östlichen Wölzer Tauern und Seckauer Alpen,AT,B,2025,2025,1,1,1,0,0.0
AT2210000,Ennstaler Alpen/Gesäuse,AT,C,2012,2025,5,10,14,9,0.6428571428571429
AT2211000,Hartberger-Gmoos,AT,C,2025,2025,1,1,1,0,0.0
AT2212000,Wörschacher Moos und ennsnahe Bereiche,AT,C,2017,2025,8,17,9,1,0.1111111111111111
AT2213000,Steirische Grenzmur mit Gamlitzbach und Gnasbach,AT,C,2011,2025,8,27,15,7,0.4666666666666667
AT2215000,Teile der Eisenerzer Alpen,AT,B,2021,2021,1,1,1,0,0.0
AT2218000,Feistritzklamm/Herberstein,AT,C,2023,2025,3,7,3,0,0.0
AT2225000,"Demmerkogel-Südhänge, Wellinggraben mit Sulm-, Saggau- und Laßnitzabschnitten und Pößnitzbach",AT,C,2013,2025,4,11,13,9,0.6923076923076923
AT2226000,Furtner Teich - Dürnberger-Moor,AT,A,2008,2023,11,25,16,5,0.3125
AT2226002,Furtner Teich,AT,B,2012,2023,10,22,12,2,0.16666666666666666
AT2229000,Teile des Steirischen Jogl- und Wechsellandes,AT,A,1925,2024,8,16,100,92,0.92
AT2229002,Ennstal zwischen Liezen und Niederstuttern,AT,A,2018,2025,6,21,8,2,0.25
AT2230000,Teile des südoststeirischen Hügellandes inklusive Höll und Grabenlandbäche,AT,C,2005,2025,13,53,21,8,0.38095238095238093
AT2231000,Weizklamm,AT,B,2023,2023,1,1,1,0,0.0
AT2233000,Raabklamm,AT,C,2025,2025,1,3,1,0,0.0
AT2236000,"Ober- und Mittellauf der Mur mit Puxer Auwald, Puxer Wand und Gulsen",AT,B,2018,2020,2,2,3,1,0.3333333333333333
AT2240000,Ennsaltarme bei Niederstuttern,AT,B,2019,2025,4,4,7,3,0.42857142857142855
AT2243000,Totes Gebirge mit Altausseer See,AT,C,1947,2025,15,23,79,64,0.810126582278481
AT2245000,Schloss Eggenberg,AT,B,2020,2020,1,1,1,0,0.0
AT2246000,Wildoner Buchkogel,AT,B,2024,2024,1,1,1,0,0.0
AT3101000,Dachstein,AT,C,1983,2025,22,145,43,21,0.4883720930232558
AT3102000,Frankinger Moos,AT,A,1993,2012,11,47,20,9,0.45
AT3103000,Pfeifer Anger,AT,A,1989,2025,29,163,37,8,0.21621621621621623
AT3105000,Unterer Inn,AT,C,1982,2025,37,8167,44,7,0.1590909090909091
AT3107000,Tanner Moor,AT,B,2022,2022,1,2,1,0,0.0
AT3108000,Tal der Kleinen Gusen,AT,B,1993,1994,2,2,2,0,0.0
AT3109000,Heißländen und Auwälder an der Traun,AT,B,1986,2011,21,78,26,5,0.19230769230769232
AT3110000,Ettenau,AT,C,1984,2025,13,57,42,29,0.6904761904761905
AT3111000,Nationalpark Kalkalpen und Umgebung,AT,C,1937,2025,32,859,89,57,0.6404494382022472
AT3112000,Oberes Donautal,AT,A,1999,2024,3,4,26,23,0.8846153846153846
AT3113000,Untere Traun,AT,A,1983,2025,26,137,43,17,0.3953488372093023
AT3114000,Traun-Donau-Auen,AT,C,1857,2025,51,222,169,118,0.6982248520710059
AT3115000,Maltsch,AT,C,2015,2024,2,17,10,8,0.8
AT3117000,Mond- und Attersee,AT,B,1838,2024,33,159,187,154,0.8235294117647058
AT3118000,Salzachauen,AT,B,1917,2010,11,22,94,83,0.8829787234042553
AT3119000,Auwälder am Unteren Inn,AT,B,1962,2023,41,318,62,21,0.3387096774193548
AT3120000,Waldaist und Naarn,AT,B,1983,2012,16,40,30,14,0.4666666666666667
AT3121000,Böhmerwald und Mühltäler,AT,B,1981,2025,26,111,45,19,0.4222222222222222
AT3122000,Oberes Donau- und Aschachtal,AT,B,1915,2024,19,63,110,91,0.8272727272727273
AT3123000,Wiesengebiete und Seen im Alpenvorland,AT,B,1968,2025,36,476,58,22,0.3793103448275862
AT3124000,Wiesengebiete im Freiwald,AT,A,1997,2022,17,120,26,9,0.34615384615384615
AT3126000,Welser Heide,AT,A,1996,2010,10,28,15,5,0.3333333333333333
AT3127000,Eferdinger Becken,AT,B,1992,2021,17,87,30,13,0.43333333333333335
AT3128000,Bäche in den Steyr- und Ennstaler Voralpen,AT,B,1997,2000,3,4,4,1,0.25
AT3129000,Wiesengebiete im Mühlviertel,AT,B,1997,2011,8,26,15,7,0.4666666666666667
AT3132000,Machland Nord,AT,B,1981,2025,31,145,45,14,0.3111111111111111
AT3137000,Unteres Steyr- und Ennstal,AT,B,1985,2025,26,123,41,15,0.36585365853658536
AT3138000,Schluchtwälder der Steyr- und Ennstaler Voralpen,AT,B,1997,2004,3,3,8,5,0.625
AT3139000,Unteres Traun- und Almtal,AT,B,1992,2023,22,111,32,10,0.3125
AT3141000,Mooswiesen am Irrsee,AT,B,1983,2020,8,11,38,30,0.7894736842105263
AT3144000,Goiserer Weißenbachtal,AT,B,2007,2011,2,2,5,3,0.6
AT3145000,Röll,AT,B,1989,2012,16,69,24,8,0.3333333333333333
AT3201014,Wallersee-Wengermoor,AT,C,1955,2025,29,135,71,42,0.5915492957746479
AT3202006,Oichtenriede,AT,A,1976,2025,16,125,50,34,0.68
AT3204002,Sieben-Möser/Gerlosplatte,AT,B,1981,2021,2,5,41,39,0.9512195121951219
AT3205021,Obertauern-Hundsfeldmoor,AT,C,1991,2023,6,10,33,27,0.8181818181818182
AT3206007,Bluntautal,AT,B,2011,2025,11,46,15,4,0.26666666666666666
AT3207020,Seetaler See,AT,B,1981,2025,10,13,45,35,0.7777777777777778
AT3209022,"Salzachauen, Salzburg",AT,A,1963,2025,27,588,63,36,0.5714285714285714
AT3210001,"Hohe Tauern, Salzburg",AT,C,1949,2025,31,224,77,46,0.5974025974025974
AT3211012,"Kalkhochalpen, Salzburg",AT,B,1950,2025,24,69,76,52,0.6842105263157895
AT3212111,Tauglgries,AT,B,2011,2025,6,12,15,9,0.6
AT3213003,Gerzkopf,AT,B,2011,2015,2,3,5,3,0.6
AT3215000,Klemmerich,AT,A,2005,2005,1,1,1,0,0.0
AT3216000,Dürrnbachhorn,AT,A,1999,1999,1,1,1,0,0.0
AT3217000,Martinsbichl,AT,A,1999,1999,1,3,1,0,0.0
AT3218000,Hochgimpling,AT,A,2008,2008,1,2,1,0,0.0
AT3221000,Joching,AT,A,1999,2018,2,5,20,18,0.9
AT3223000,"Salzachauen, Salzburg",AT,B,1963,2025,24,465,63,39,0.6190476190476191
AT3224000,Entrische Kirche,AT,B,1983,1983,1,1,1,0,0.0
AT3225000,Weidmoos,AT,A,2004,2025,22,1836,22,0,0.0
AT3226000,Zinkenbach-Karlgraben,AT,B,1992,1992,1,1,1,0,0.0
AT3227000,Untersberg-Vorland,AT,B,2007,2025,6,10,19,13,0.6842105263157895
AT3228000,Bürmooser Moor,AT,C,2009,2024,12,49,16,4,0.25
AT3230000,Zeller See Südufer,AT,B,1962,2024,42,169,63,21,0.3333333333333333
AT3231000,Mooshamer Moos Ost,AT,B,2012,2016,2,2,5,3,0.6
AT3232000,Kopfweiden am Almkanal,AT,B,2019,2019,1,1,1,0,0.0
AT3236000,Rupanin,AT,B,1963,1963,1,1,1,0,0.0
AT3245000,Lucia-Lacke,AT,B,2025,2025,1,2,1,0,0.0
AT3247000,Fraham-Aag-Zellhof,AT,B,2003,2023,6,8,21,15,0.7142857142857143
AT3248000,Prähauserbauerwiese,AT,B,2018,2020,2,2,3,1,0.3333333333333333
AT3249000,Unterfelben,AT,B,2013,2013,1,1,1,0,0.0
AT3250000,Gschwendter Moos,AT,B,2014,2014,1,1,1,0,0.0
AT3301000,"Hohe Tauern, Tirol",AT,C,1976,2025,16,31,50,34,0.68
AT3302000,Vilsalpsee,AT,C,2016,2022,3,3,7,4,0.5714285714285714
AT3303000,Valsertal,AT,C,2021,2023,2,3,3,1,0.3333333333333333
AT3304000,Karwendel,AT,C,2009,2025,17,131,17,0,0.0
AT3305000,Ötztaler Alpen,AT,C,2023,2025,3,3,3,0,0.0
AT3308000,Schwemm,AT,B,2012,2025,2,4,14,12,0.8571428571428571
AT3309000,Tiroler Lech,AT,C,2010,2025,9,20,16,7,0.4375
AT3312000,Ortolanvorkommen Silz-Haiming-Stams,AT,A,2003,2012,5,5,10,5,0.5
AT3314000,"Osttiroler Gletscherflüsse Isel, Schwarzach und Kalserbach",AT,B,1975,1988,5,5,14,9,0.6428571428571429
AT3315000,Sinesbrunn,AT,B,2021,2021,1,1,1,0,0.0
AT3402000,Rheindelta,AT,C,1957,2025,28,618,69,41,0.5942028985507246
AT3403000,Mehrerauer Seeufer - Bregenzerachmündung,AT,B,2015,2025,6,14,11,5,0.45454545454545453
AT3404000,Lauteracher Ried,AT,A,2011,2025,9,19,15,6,0.4
AT3405000,Bregenzerachschlucht,AT,B,2025,2025,1,3,1,0,0.0
AT3408000,Bangs - Matschels,AT,C,1998,2025,5,11,28,23,0.8214285714285714
AT3411000,Klostertaler Bergwälder,AT,A,1977,2025,9,11,49,40,0.8163265306122449
AT3412000,Verwall,AT,A,2020,2022,2,2,3,1,0.3333333333333333
AT3415000,Alpenmannstreu Gamperdonatal,AT,B,2022,2023,2,2,2,0,0.0
AT3421000,Gsieg - Obere Mähder,AT,B,2019,2025,4,10,7,3,0.42857142857142855
AT3423000,"Soren, Gleggen-Köblern, Schweizer Ried und Birken-Schwarzes Zeug",AT,C,2020,2025,5,18,6,1,0.16666666666666666
AT3427000,Übersaxen-Satteins,AT,B,2025,2025,1,2,1,0,0.0
AT3437000,Widdersteinmähder,AT,B,2024,2024,1,1,1,0,0.0
AT3438000,Ifen,AT,B,2012,2023,3,5,12,9,0.75
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,BE,B,1983,2025,17,93,43,26,0.6046511627906976
BE1000003,Zones boisées et zones humides de la Vallée du Molenbeek dans le Nord-Ouest de la Région bruxelloise,BE,B,2011,2011,1,1,1,0,0.0
BE2100015,Kalmthoutse Heide,BE,B,1980,2025,20,618,46,26,0.5652173913043478
BE2100016,Klein en Groot Schietveld,BE,B,1986,2025,21,260,40,19,0.475
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,BE,B,1994,2025,20,308,32,12,0.375
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",BE,B,1997,2024,16,58,28,12,0.42857142857142855
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",BE,B,2010,2024,9,18,15,6,0.4
BE2100024,"Vennen, heiden en moerassen rond Turnhout",BE,B,1991,2025,21,614,35,14,0.4
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",BE,B,1990,2025,25,462,36,11,0.3055555555555556
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",BE,B,2006,2025,15,110,20,5,0.25
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,BE,B,2016,2025,7,23,10,3,0.3
BE2100323,Kalmthoutse Heide,BE,A,1980,2025,20,618,46,26,0.5652173913043478
BE2100424,De Zegge,BE,A,2008,2024,8,146,17,9,0.5294117647058824
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",BE,A,1986,2025,21,290,40,19,0.475
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",BE,A,1991,2025,22,636,35,13,0.37142857142857144
BE2101639,Ronde Put,BE,A,1996,2025,21,130,30,9,0.3
BE2200028,De Maten,BE,B,1980,2025,29,312,46,17,0.3695652173913043
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",BE,B,2007,2025,14,55,19,5,0.2631578947368421
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,BE,B,2008,2025,11,131,18,7,0.3888888888888889
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",BE,B,1976,2025,30,487,50,20,0.4
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",BE,B,1999,2025,22,297,27,5,0.18518518518518517
BE2200033,Abeek met aangrenzende moerasgebieden,BE,B,1973,2025,18,132,53,35,0.660377358490566
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",BE,B,2009,2024,15,187,16,1,0.0625
BE2200035,Mechelse Heide en vallei van de Ziepbeek,BE,B,2007,2023,17,227,17,0,0.0
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,BE,B,2020,2024,4,9,5,1,0.2
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,BE,B,1993,2025,22,147,33,11,0.3333333333333333
BE2200038,Bossen en kalkgraslanden van Haspengouw,BE,B,2010,2025,15,214,16,1,0.0625
BE2200039,Voerstreek,BE,B,2011,2025,8,16,15,7,0.4666666666666667
BE2200041,Jekervallei en bovenloop van de Demervallei,BE,B,2011,2020,2,7,10,8,0.8
BE2200042,Overgang Kempen-Haspengouw,BE,B,2013,2025,8,16,13,5,0.38461538461538464
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,BE,B,2008,2024,4,15,17,13,0.7647058823529411
BE2200525,Bokrijk en omgeving,BE,A,2011,2024,8,15,14,6,0.42857142857142855
BE2200626,De Maten,BE,A,1980,2025,29,312,46,17,0.3695652173913043
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,BE,A,2007,2023,16,195,17,1,0.058823529411764705
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",BE,A,2010,2024,8,47,15,7,0.4666666666666667
BE2218311,Militair domein en vallei van de Zwarte Beek,BE,A,2010,2025,14,62,16,2,0.125
BE2219312,Vijvercomplex van Midden Limburg,BE,A,1976,2025,27,260,50,23,0.46
BE2220313,"Houthalen-Helchteren, Meeuwen-Gruitrode en Peer",BE,A,2011,2025,10,91,15,5,0.3333333333333333
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",BE,A,1973,2025,24,459,53,29,0.5471698113207547
BE2223316,De Demervallei,BE,A,1989,2025,33,847,37,4,0.10810810810810811
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,BE,B,1998,2025,21,218,28,7,0.25
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,BE,B,1968,2025,31,11996,58,27,0.46551724137931033
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,BE,B,1998,2024,24,132,27,3,0.1111111111111111
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,BE,B,1984,2024,17,63,41,24,0.5853658536585366
BE2300222,Kuifeend en Blokkersdijk,BE,A,1973,2025,38,137,53,15,0.2830188679245283
BE2301134,Krekengebied,BE,A,1986,2025,20,2162,40,20,0.5
BE2301235,Durme en Middenloop van de Schelde,BE,A,1999,2025,22,494,27,5,0.18518518518518517
BE2301336,Schorren en Polders van de Beneden-Schelde,BE,A,1968,2025,30,14938,58,28,0.4827586206896552
BE2400008,Zoniënwoud,BE,B,2007,2024,16,143,18,2,0.1111111111111111
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,BE,B,2015,2024,7,13,10,3,0.3
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",BE,B,2009,2023,11,58,15,4,0.26666666666666666
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",BE,B,1975,2025,24,526,51,27,0.5294117647058824
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,BE,B,2009,2024,10,24,16,6,0.375
BE2400014,Demervallei,BE,B,1989,2025,31,842,37,6,0.16216216216216217
BE2422315,De Dijlevallei,BE,A,1975,2025,27,352,51,24,0.47058823529411764
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,BE,B,1981,2025,34,8769,45,11,0.24444444444444444
BE2500002,Polders,BE,B,1986,2025,26,2274,40,14,0.35
BE2500003,Westvlaams Heuvelland,BE,B,2011,2025,7,12,15,8,0.5333333333333333
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",BE,B,1993,2025,15,394,33,18,0.5454545454545454
BE2500121,Westkust,BE,A,2009,2025,13,326,17,4,0.23529411764705882
BE2500831,Ijzervallei,BE,A,1984,2025,21,406,42,21,0.5
BE2500932,Poldercomplex,BE,A,1981,2025,33,587,45,12,0.26666666666666666
BE2501033,Het Zwin,BE,A,1981,2025,31,8593,45,14,0.3111111111111111
BE2524317,Kustbroedvogels te Zeebrugge-Heist,BE,A,1981,2024,7,20,44,37,0.8409090909090909
BE31001C0,Affluents brabançons de la Senne,BE,C,2025,2025,1,1,1,0,0.0
BE31002C0,Vallées de l'Argentine et de la Lasne,BE,C,1989,2025,8,17,37,29,0.7837837837837838
BE31004C0,Vallée de la Dyle en aval d'Archennes,BE,C,1977,2025,9,11,49,40,0.8163265306122449
BE31006C0,Vallée de la Dyle à Ottignies,BE,C,2018,2024,5,5,7,2,0.2857142857142857
BE31007C0,Vallée du Train,BE,C,2015,2022,3,6,8,5,0.625
BE31010C0,Sources de la Dyle,BE,C,1989,2025,9,20,37,28,0.7567567567567568
BE31012C0,Vallée de la Dyle de Wavre à Archennes,BE,C,2024,2024,1,2,1,0,0.0
BE32001C0,Vallée de la Lys,BE,C,2013,2025,9,16,13,4,0.3076923076923077
BE32002C0,Vallée de l'Escaut en aval de Tournai,BE,C,2008,2025,6,16,18,12,0.6666666666666666
BE32004C0,Vallée de la Rhosnes,BE,C,2021,2021,1,1,1,0,0.0
BE32006C0,Bois d'Enghien et de Silly,BE,C,2010,2010,1,1,1,0,0.0
BE32007C0,Bois de la Houssière,BE,C,2021,2024,2,3,4,2,0.5
BE32012C0,Bord nord du bassin de la Haine,BE,C,2020,2022,2,2,3,1,0.3333333333333333
BE32014C0,Vallée de la Haine en amont de Mons,BE,C,2011,2024,5,5,14,9,0.6428571428571429
BE32017C0,Vallée de la Haine en aval de Mons,BE,C,1980,2025,20,201,46,26,0.5652173913043478
BE32018C0,Bois de Colfontaine,BE,C,2020,2023,2,15,4,2,0.5
BE32026C0,Haute-Sambre en amont de Thuin,BE,C,2019,2025,6,14,7,1,0.14285714285714285
BE32029C0,Haute vallée de la Thure,BE,C,2020,2021,2,5,2,0,0.0
BE32032C0,Forêts de Rance,BE,C,2017,2017,1,1,1,0,0.0
BE32034C0,Bois Massart et forêts de Sivry-Rance,BE,C,2011,2011,1,1,1,0,0.0
BE32036C0,Vallée de l'Eau Blanche à Virelles,BE,C,2007,2025,16,143,19,3,0.15789473684210525
BE32037C0,Massifs forestiers entre Momignies et Chimay,BE,C,2022,2022,1,2,1,0,0.0
BE32039C0,Vallées de l'Oise et de la Wartoise,BE,C,2013,2014,2,2,2,0,0.0
BE32046C0,Vallée du Piéton,BE,C,2012,2012,1,1,1,0,0.0
BE33002B0,Basse vallée du Geer,BE,B,2014,2014,1,1,1,0,0.0
BE33003C0,Montagne Saint-Pierre,BE,C,2018,2018,1,1,1,0,0.0
BE33004C0,Basse Meuse et Meuse mitoyenne,BE,C,2010,2024,4,4,15,11,0.7333333333333333
BE33006C0,Vallée de la Gueule en aval de Kelmis,BE,C,2011,2020,3,5,10,7,0.7
BE33007C0,Vallée de la Gueule en amont de Kelmis,BE,C,1997,2024,9,12,28,19,0.6785714285714286
BE33010C0,Vallée de la Meuse à Huy et vallon de la Solières,BE,C,2024,2024,1,1,1,0,0.0
BE33012C0,Affluents de la Meuse entre Huy et Flémalle,BE,C,2013,2019,2,2,7,5,0.7142857142857143
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,BE,C,2010,2024,2,3,15,13,0.8666666666666667
BE33017C0,Basse vallée de l'Amblève,BE,C,2021,2021,1,1,1,0,0.0
BE33018C0,Coteaux calcaires de Theux et le Rocheux,BE,C,2020,2020,1,3,1,0,0.0
BE33020C0,Affluents du lac d'Eupen,BE,C,2022,2022,1,2,1,0,0.0
BE33021C0,Osthertogenwald autour de Raeren,BE,C,2023,2025,2,2,3,1,0.3333333333333333
BE33022C0,La Gileppe,BE,C,2023,2023,1,1,1,0,0.0
BE33024C0,Vallée de la Helle,BE,C,2023,2024,2,4,2,0,0.0
BE33025C0,Fagnes du Nord-Est,BE,C,2005,2025,13,27,21,8,0.38095238095238093
BE33026C0,Vallée de l'Ourthe entre Hamoir et Comblain-au-Pont,BE,C,2022,2022,1,1,1,0,0.0
BE33027C0,Vallée de la Lembrée et affluents,BE,C,2013,2013,1,1,1,0,0.0
