SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
AT2209001,Steilhangmoor im Untertal,AT,B,1983,2025,2,4,43,41,0.9534883720930233
AT2209002,Patzenkar,AT,B,1991,2019,2,4,29,27,0.9310344827586207
AT2209003,Hochlagen der südöstlichen Schladminger Tauern,AT,B,1896,2025,35,212,130,95,0.7307692307692307
AT2209004,Hochlagen der östlichen Wölzer Tauern und Seckauer Alpen,AT,B,1821,2025,47,168,205,158,0.7707317073170732
AT2210000,Ennstaler Alpen/Gesäuse,AT,C,1843,2025,50,935,183,133,0.726775956284153
AT2211000,Hartberger-Gmoos,AT,C,2018,2025,7,10,8,1,0.125
AT2212000,Wörschacher Moos und ennsnahe Bereiche,AT,C,1997,2025,6,16,29,23,0.7931034482758621
AT2213000,Steirische Grenzmur mit Gamlitzbach und Gnasbach,AT,C,1935,2025,24,304,91,67,0.7362637362637363
AT2214000,Deutschlandsberger Klause,AT,B,1883,2025,17,55,143,126,0.8811188811188811
AT2215000,Teile der Eisenerzer Alpen,AT,B,1845,2025,71,303,181,110,0.6077348066298343
AT2216000,Kirchkogel bei Pernegg,AT,B,1884,2024,10,14,141,131,0.9290780141843972
AT2217000,Peggauer Wand,AT,C,1840,2025,28,74,186,158,0.8494623655913979
AT2218000,Feistritzklamm/Herberstein,AT,C,2003,2025,18,334,23,5,0.21739130434782608
AT2219000,Teile des steirischen Nockgebietes,AT,B,1845,2025,12,21,181,169,0.9337016574585635
AT2220000,Zirbitzkogel,AT,A,1874,2025,47,134,152,105,0.6907894736842105
AT2221000,Gamperlacke,AT,B,2019,2022,2,8,4,2,0.5
AT2223000,Pölshof bei Pöls,AT,B,2008,2008,1,2,1,0,0.0
AT2224000,Zlaimmöser-Moore / Weißenbachalm,AT,B,2014,2020,2,3,7,5,0.7142857142857143
AT2225000,"Demmerkogel-Südhänge, Wellinggraben mit Sulm-, Saggau- und Laßnitzabschnitten und Pößnitzbach",AT,C,1958,2025,22,227,68,46,0.6764705882352942
AT2226000,Furtner Teich - Dürnberger-Moor,AT,A,1877,2025,20,83,149,129,0.8657718120805369
AT2226001,Dürnberger Moor,AT,B,2017,2024,3,5,8,5,0.625
AT2226002,Furtner Teich,AT,B,1877,2025,14,50,149,135,0.9060402684563759
AT2229000,Teile des Steirischen Jogl- und Wechsellandes,AT,A,1909,2025,23,257,117,94,0.8034188034188035
AT2229002,Ennstal zwischen Liezen und Niederstuttern,AT,A,1901,2025,20,80,125,105,0.84
AT2230000,Teile des südoststeirischen Hügellandes inklusive Höll und Grabenlandbäche,AT,C,1932,2025,36,842,94,58,0.6170212765957447
AT2231000,Weizklamm,AT,B,1847,2025,15,35,179,164,0.9162011173184358
AT2233000,Raabklamm,AT,C,1847,2025,19,153,179,160,0.8938547486033519
AT2235000,Hochwechsel,AT,B,1909,2020,3,5,112,109,0.9732142857142857
AT2236000,"Ober- und Mittellauf der Mur mit Puxer Auwald, Puxer Wand und Gulsen",AT,B,1883,2025,41,110,143,102,0.7132867132867133
AT2237000,Geländeteile im Umfeld des Dieslingsees,AT,B,2023,2023,1,1,1,0,0.0
AT2238000,Gersdorfer Altarm,AT,B,2021,2021,1,1,1,0,0.0
AT2240000,Ennsaltarme bei Niederstuttern,AT,B,1985,2025,8,16,41,33,0.8048780487804879
AT2241000,Südlich gelegene Talbereiche der Göstlinger Alpen,AT,B,1984,2025,10,64,42,32,0.7619047619047619
AT2242000,Schwarze und Weiße Sulm,AT,B,1959,2024,5,18,66,61,0.9242424242424242
AT2243000,Totes Gebirge mit Altausseer See,AT,C,1849,2025,95,652,177,82,0.4632768361581921
AT2244000,Flaumeichenwälder im Grazer Bergland,AT,B,1998,2025,10,30,28,18,0.6428571428571429
AT2245000,Schloss Eggenberg,AT,B,1844,2025,9,36,182,173,0.9505494505494505
AT2246000,Wildoner Buchkogel,AT,B,1952,2025,9,26,74,65,0.8783783783783784
AT2247000,Wundschuh-Neuteich,AT,B,2020,2025,3,22,6,3,0.5
AT2248000,Südsteirische Teichlandschaft,AT,B,1956,2025,6,34,70,64,0.9142857142857143
AT2249000,Teile der nördlichen Zuflüsse der Walster im Mariazeller Land,AT,B,2020,2025,3,4,6,3,0.5
AT2250000,Koralpe,AT,B,1904,2025,17,80,122,105,0.860655737704918
AT2251000,Teile des Plannerkessels,AT,B,2022,2022,1,1,1,0,0.0
AT2252000,Oberlauf des Schirningbaches mit Zubringerbächen sowie Unterlauf des Enzenbaches,AT,B,2020,2025,5,11,6,1,0.16666666666666666
AT2253000,Mitterndorfer Biotopverbund,AT,B,1970,2024,11,206,55,44,0.8
AT2254000,Serpentingebiete bei Kraubath an der Mur,AT,B,2024,2024,1,3,1,0,0.0
AT2255000,Raabtalbäche,AT,B,2025,2025,1,1,1,0,0.0
AT2256000,Hochlagen des westlichen Ausseerlandes mit Dachsteinplateau,AT,A,1947,2025,11,31,79,68,0.8607594936708861
AT3101000,Dachstein,AT,C,1893,2025,80,864,133,53,0.39849624060150374
AT3102000,Frankinger Moos,AT,A,2010,2023,4,11,14,10,0.7142857142857143
AT3103000,Pfeifer Anger,AT,A,1882,2025,31,296,144,113,0.7847222222222222
AT3105000,Unterer Inn,AT,C,1963,2025,26,406,63,37,0.5873015873015873
AT3106000,Reinthaler Moos,AT,B,2022,2022,1,1,1,0,0.0
AT3107000,Tanner Moor,AT,B,1933,2023,7,8,91,84,0.9230769230769231
AT3108000,Tal der Kleinen Gusen,AT,B,1994,2025,10,48,32,22,0.6875
AT3109000,Heißländen und Auwälder an der Traun,AT,B,1987,2022,20,46,36,16,0.4444444444444444
AT3110000,Ettenau,AT,C,1954,2025,29,434,72,43,0.5972222222222222
AT3111000,Nationalpark Kalkalpen und Umgebung,AT,C,1862,2025,71,1735,164,93,0.5670731707317073
AT3112000,Oberes Donautal,AT,A,1972,2025,21,83,54,33,0.6111111111111112
AT3113000,Untere Traun,AT,A,1863,2025,41,960,163,122,0.7484662576687117
AT3114000,Traun-Donau-Auen,AT,C,1929,2025,58,364,97,39,0.4020618556701031
AT3115000,Maltsch,AT,C,2002,2025,16,40,24,8,0.3333333333333333
AT3116000,Kalksteinmauer und Orchideenwiese Laussa,AT,B,1973,2025,5,8,53,48,0.9056603773584906
AT3117000,Mond- und Attersee,AT,B,1849,2025,47,143,177,130,0.7344632768361582
AT3118000,Salzachauen,AT,B,1977,2025,22,261,49,27,0.5510204081632653
AT3119000,Auwälder am Unteren Inn,AT,B,1969,2025,40,332,57,17,0.2982456140350877
AT3120000,Waldaist und Naarn,AT,B,1922,2025,29,93,104,75,0.7211538461538461
AT3121000,Böhmerwald und Mühltäler,AT,B,1915,2025,44,294,111,67,0.6036036036036037
AT3122000,Oberes Donau- und Aschachtal,AT,B,1885,2025,60,805,141,81,0.574468085106383
AT3123000,Wiesengebiete und Seen im Alpenvorland,AT,B,1882,2025,74,825,144,70,0.4861111111111111
AT3124000,Wiesengebiete im Freiwald,AT,A,1908,2025,29,46,118,89,0.7542372881355932
AT3125000,Rannatal,AT,B,1904,2025,8,19,122,114,0.9344262295081968
AT3126000,Welser Heide,AT,A,1980,2024,8,21,45,37,0.8222222222222222
AT3127000,Eferdinger Becken,AT,B,1878,2025,31,164,148,117,0.7905405405405406
AT3128000,Bäche in den Steyr- und Ennstaler Voralpen,AT,B,1990,2022,6,10,33,27,0.8181818181818182
AT3129000,Wiesengebiete im Mühlviertel,AT,B,1968,2025,13,24,58,45,0.7758620689655172
AT3130000,Hornspitzmoore,AT,B,1997,2025,2,2,29,27,0.9310344827586207
AT3131000,Leitenbach,AT,B,1930,2023,13,57,94,81,0.8617021276595744
AT3132000,Machland Nord,AT,B,1918,2025,32,502,108,76,0.7037037037037037
AT3133000,Mösl im Ebenthal,AT,B,1993,2015,3,3,23,20,0.8695652173913043
AT3134000,Planwiesen,AT,B,2005,2023,3,4,19,16,0.8421052631578947
AT3136000,Mittlere Steyr,AT,B,2004,2025,9,20,22,13,0.5909090909090909
AT3137000,Unteres Steyr- und Ennstal,AT,B,1947,2025,32,374,79,47,0.5949367088607594
AT3138000,Schluchtwälder der Steyr- und Ennstaler Voralpen,AT,B,1907,2025,14,38,119,105,0.8823529411764706
AT3139000,Unteres Traun- und Almtal,AT,B,1863,2025,33,782,163,130,0.7975460122699386
AT3140000,Gerlhamer Moor,AT,B,2006,2014,3,8,9,6,0.6666666666666666
AT3141000,Mooswiesen am Irrsee,AT,B,2003,2025,7,23,23,16,0.6956521739130435
AT3142000,Egelsee und Egelseemoor in Unterach,AT,B,1955,2024,11,25,70,59,0.8428571428571429
AT3143000,Offensee und angrenzendes Verlandungsmoor,AT,B,2001,2025,6,13,25,19,0.76
AT3145000,Röll,AT,B,1920,2023,11,22,104,93,0.8942307692307693
AT3146000,Teichlboden,AT,B,2021,2021,1,1,1,0,0.0
AT3148000,Burgberg Losenstein,AT,B,2022,2024,2,5,3,1,0.3333333333333333
AT3149000,Amesschlag,AT,B,2012,2023,2,4,12,10,0.8333333333333334
AT3151000,Tuffquelle und Hangwald in Loiben,AT,B,2018,2018,1,1,1,0,0.0
AT3152000,Kalktuffquelle Wanghausen,AT,B,2017,2017,1,1,1,0,0.0
AT3153000,Kalktuffquelle in Vorderstoder,AT,B,2018,2018,1,1,1,0,0.0
AT3201014,Wallersee-Wengermoor,AT,C,1931,2025,23,604,95,72,0.7578947368421053
AT3202006,Oichtenriede,AT,A,2007,2025,15,57,19,4,0.21052631578947367
AT3203010,Winklmoos,AT,C,1988,2025,10,32,38,28,0.7368421052631579
AT3204002,Sieben-Möser/Gerlosplatte,AT,B,1997,2025,10,49,29,19,0.6551724137931034
AT3205021,Obertauern-Hundsfeldmoor,AT,C,1961,2025,19,157,65,46,0.7076923076923077
AT3206007,Bluntautal,AT,B,1897,2025,27,681,129,102,0.7906976744186046
AT3207020,Seetaler See,AT,B,1904,2025,30,228,122,92,0.7540983606557377
AT3209022,"Salzachauen, Salzburg",AT,A,1933,2025,33,4244,93,60,0.6451612903225806
AT3210001,"Hohe Tauern, Salzburg",AT,C,1820,2025,125,5123,206,81,0.3932038834951456
AT3211012,"Kalkhochalpen, Salzburg",AT,B,1840,2025,89,1398,186,97,0.521505376344086
AT3212111,Tauglgries,AT,B,2000,2025,15,396,26,11,0.4230769230769231
AT3213003,Gerzkopf,AT,B,1980,2025,7,16,46,39,0.8478260869565217
AT3214000,Rotmoos-Käfertal,AT,B,1909,2025,13,60,117,104,0.8888888888888888
AT3215000,Klemmerich,AT,A,2022,2022,1,2,1,0,0.0
AT3216000,Dürrnbachhorn,AT,A,2005,2005,1,4,1,0,0.0
AT3219000,Gernfilzen-Bannwald,AT,A,2013,2019,2,40,7,5,0.7142857142857143
AT3221000,Joching,AT,A,2011,2012,2,2,2,0,0.0
AT3222000,Moore am Überling,AT,B,2009,2025,3,5,17,14,0.8235294117647058
AT3223000,"Salzachauen, Salzburg",AT,B,1933,2025,31,3252,93,62,0.6666666666666666
AT3224000,Entrische Kirche,AT,B,1950,2023,20,204,74,54,0.7297297297297297
AT3225000,Weidmoos,AT,A,1883,2025,25,466,143,118,0.8251748251748252
AT3227000,Untersberg-Vorland,AT,B,1927,2025,44,1326,99,55,0.5555555555555556
AT3228000,Bürmooser Moor,AT,C,2001,2025,22,608,25,3,0.12
AT3230000,Zeller See Südufer,AT,B,1968,2024,9,13,57,48,0.8421052631578947
AT3231000,Mooshamer Moos Ost,AT,B,2002,2025,9,35,24,15,0.625
AT3232000,Kopfweiden am Almkanal,AT,B,1918,2025,8,24,108,100,0.9259259259259259
AT3233000,Pfarrkirche St. Georgen bei Salzburg,AT,B,1997,2012,15,65,16,1,0.0625
AT3234000,Kendlbruckergraben - Hinteralm,AT,B,2014,2024,3,18,11,8,0.7272727272727273
AT3235000,Hinterrieding-Wasserfallkar,AT,B,2023,2023,1,2,1,0,0.0
AT3236000,Rupanin,AT,B,2022,2025,3,36,4,1,0.25
AT3237000,Georgenberg,AT,B,2012,2025,3,5,14,11,0.7857142857142857
AT3238000,Pongauer Taurachtal,AT,B,2014,2022,4,9,9,5,0.5555555555555556
AT3240000,Drossen,AT,B,2005,2024,4,26,20,16,0.8
AT3241000,Streuwiese am Salzweg,AT,B,2019,2025,5,16,7,2,0.2857142857142857
AT3242000,Lonka-Mäander,AT,B,2025,2025,1,2,1,0,0.0
AT3243000,Althofener Moos,AT,B,2022,2022,1,1,1,0,0.0
AT3244000,Steindorf - Am Moos,AT,B,2014,2022,3,6,9,6,0.6666666666666666
AT3245000,Lucia-Lacke,AT,B,1991,2025,6,25,35,29,0.8285714285714286
AT3247000,Fraham-Aag-Zellhof,AT,B,2006,2025,10,51,20,10,0.5
AT3248000,Prähauserbauerwiese,AT,B,2019,2025,7,78,7,0,0.0
AT3249000,Unterfelben,AT,B,2011,2025,3,6,15,12,0.8
AT3250000,Gschwendter Moos,AT,B,2020,2025,4,7,6,2,0.3333333333333333
AT3251000,Nikolausberg,AT,B,1998,2021,3,19,24,21,0.875
AT3253000,Unkenberger Mähder,AT,B,2020,2024,5,24,5,0,0.0
AT3301000,"Hohe Tauern, Tirol",AT,C,1812,2025,56,4146,214,158,0.7383177570093458
AT3302000,Vilsalpsee,AT,C,1963,2025,16,173,63,47,0.746031746031746
AT3303000,Valsertal,AT,C,1931,2024,12,52,94,82,0.8723404255319149
AT3304000,Karwendel,AT,C,1860,2025,69,2433,166,97,0.5843373493975904
AT3305000,Ötztaler Alpen,AT,C,1886,2025,63,1131,140,77,0.55
AT3307000,Egelsee,AT,B,2023,2023,1,1,1,0,0.0
AT3308000,Schwemm,AT,B,1999,2025,10,49,27,17,0.6296296296296297
AT3309000,Tiroler Lech,AT,C,1940,2025,31,1364,86,55,0.6395348837209303
AT3310000,Arzler Pitzeklamm,AT,B,2021,2025,2,6,5,3,0.6
AT3311000,Engelswand,AT,B,1951,1952,2,7,2,0,0.0
AT3312000,Ortolanvorkommen Silz-Haiming-Stams,AT,A,1939,2025,4,12,87,83,0.9540229885057471
AT3313000,Fließer Sonnenhänge,AT,B,2005,2025,9,34,21,12,0.5714285714285714
AT3314000,"Osttiroler Gletscherflüsse Isel, Schwarzach und Kalserbach",AT,B,1990,2025,13,137,36,23,0.6388888888888888
AT3315000,Sinesbrunn,AT,B,1987,2025,4,5,39,35,0.8974358974358975
AT3402000,Rheindelta,AT,C,1950,2025,19,188,76,57,0.75
AT3403000,Mehrerauer Seeufer - Bregenzerachmündung,AT,B,1947,2025,11,54,79,68,0.8607594936708861
AT3404000,Lauteracher Ried,AT,A,2020,2025,6,32,6,0,0.0
AT3405000,Bregenzerachschlucht,AT,B,2012,2025,9,84,14,5,0.35714285714285715
AT3406000,Witmoos,AT,B,2021,2021,1,1,1,0,0.0
AT3407000,Fohramoos,AT,B,1915,2025,9,31,111,102,0.918918918918919
AT3408000,Bangs - Matschels,AT,C,1920,2025,23,112,106,83,0.7830188679245284
AT3409000,Ludescherberg,AT,B,1935,2025,8,35,91,83,0.9120879120879121
AT3410000,Gadental,AT,B,1987,2025,10,39,39,29,0.7435897435897436
AT3411000,Klostertaler Bergwälder,AT,A,1924,2025,22,133,102,80,0.7843137254901961
AT3412000,Verwall,AT,A,1910,2025,25,245,116,91,0.7844827586206896
AT3413000,Wiegensee,AT,B,1985,2025,11,41,41,30,0.7317073170731707
AT3414000,Leiblach,AT,B,2007,2025,4,11,19,15,0.7894736842105263
AT3415000,Alpenmannstreu Gamperdonatal,AT,B,2022,2025,3,7,4,1,0.25
AT3416000,Spirkenwälder Saminatal,AT,B,1989,2023,2,7,35,33,0.9428571428571428
AT3419000,Spirkenwälder Innergamp,AT,B,1920,1937,5,6,18,13,0.7222222222222222
AT3420000,Unter-Überlut,AT,B,1964,1974,2,3,11,9,0.8181818181818182
AT3421000,Gsieg - Obere Mähder,AT,B,2021,2025,5,13,5,0,0.0
AT3422000,Schuttfluren Tafamunt,AT,B,2022,2022,1,2,1,0,0.0
AT3423000,"Soren, Gleggen-Köblern, Schweizer Ried und Birken-Schwarzes Zeug",AT,C,1934,2025,6,28,92,86,0.9347826086956522
AT3425000,Davenna,AT,B,2019,2025,3,9,7,4,0.5714285714285714
AT3426000,Frastanzer Ried,AT,B,1934,2025,7,31,92,85,0.9239130434782609
AT3427000,Übersaxen-Satteins,AT,B,2021,2025,5,37,5,0,0.0
AT3436000,Walsbächle,AT,B,2024,2025,2,2,2,0,0.0
AT3437000,Widdersteinmähder,AT,B,2010,2025,6,26,16,10,0.625
AT3438000,Ifen,AT,B,1931,2025,16,210,95,79,0.8315789473684211
AT3439000,Schöneberg,AT,B,2005,2025,5,13,21,16,0.7619047619047619
BE1000001,La Forêt de Soignes avec lisières et domaines boisés avoisinants et la Vallée de la Woluwe - complexe Forêt de Soignes - Vallée de la Woluwe,BE,B,1862,2025,62,3591,164,102,0.6219512195121951
